DeptId,ZipCode,NumberOfStations,ActivePersonnel
847,80005,9,141
848,12170,4,44
849,49946,1,20
850,52002,1,29
851,64832,2,10
852,07712,1,55
853,29340,1,12
854,35951,1,30
855,70346,3,31
856,05030,1,25
857,74578,1,14
858,72513,2,16
859,86320,1,14
860,65604,1,16
861,48117,2,40
862,02804,1,40
863,31714,2,24
864,20147,2,256
865,01430,1,35
866,01431,1,30
867,56309,1,21
868,27203,2,64
869,74826,2,16
870,78827,1,6
871,28801,12,273
872,28752,1,32
873,36312,1,23
874,06278,2,32
875,53003,2,24
876,60911,1,20
877,37015,2,44
878,03217,1,30
879,97520,2,30
880,36251,1,18
881,54806,1,26
882,68003,1,36
883,41101,3,51
884,01721,2,28
885,44805,2,38
886,67831,1,22
887,62612,1,24
888,74570,1,10
889,59003,1,10
890,58413,1,25
891,62808,2,25
892,29418,1,43
893,48806,1,22
894,46705,1,21
895,61912,1,20
896,35565,1,21
897,44004,1,23
898,44004,2,25
899,68817,1,23
900,51232,1,18
901,57424,1,16
902,61006,1,28
903,32331,1,7
904,14710,2,41
905,35953,1,14
906,16613,1,30
907,54304,2,75
908,27983,1,32
909,55704,1,19
910,99403,1,61
911,85338,1,1
912,81611,5,45
913,15215,2,40
914,67416,1,15
915,62510,1,25
916,19014,1,55
917,61501,2,29
918,97103,2,19
919,57213,1,19
920,78264,1,20
921,52720,1,16
922,93422,2,21
923,93423,1,13
924,77346,4,130
925,66002,1,25
926,66023,1,14
927,66041,2,35
928,66002,1,19
929,19310,1,20
930,54104,2,22
931,54411,1,60
932,18810,2,40
933,75751,2,27
934,35612,3,40
935,45701,2,23
936,49011,1,17
937,18840,2,50
938,12015,1,66
939,24712,1,16
940,04912,1,13
941,62613,1,25
942,30601,9,184
943,66932,1,15
944,01331,2,34
945,72823,1,26
946,52206,1,26
947,24311,1,30
948,68713,1,30
949,28421,1,28
950,03811,1,36
951,61235,1,30
952,75551,1,34
953,61723,1,22
954,83716,1,16
955,63530,1,6
956,11509,1,9
957,28512,1,49
958,08401,6,235
959,08234,1,16
960,50022,1,38
961,07716,1,50
962,11771,1,86
963,23303,1,35
964,17851,1,25
965,48438,1,31
966,99559,1,4
967,74525,2,25
968,38058,2,29
969,88210,2,18
970,39090,8,60
971,35954,3,38
972,39815,1,10
973,06241,1,60
974,14011,1,23
975,67009,1,25
976,48412,1,15
977,14011,2,39
978,47918,1,21
979,02703,4,96
980,75929,1,4
981,44201,1,17
982,95301,2,19
983,28023,2,46
984,38220,2,18
985,61913,1,25
986,06387,1,24
987,46502,1,22
988,49806,3,18
989,46945,1,17
990,93602,1,12
991,76227,2,40
992,13024,1,33
993,51433,1,26
994,17922,1,16
995,46706,2,31
996,03032,2,34
997,04210,3,63
998,95603,3,28
999,01501,2,47
1000,36830,5,100
1001,62615,2,28
1002,48326,3,32
1003,13021,2,74
1004,42206,2,20
1005,08085,1,11
1006,68305,1,40
1007,44023,1,43
1008,48611,1,31
1009,33823,1,21
1010,54412,1,25
1011,37016,1,12
1012,50025,1,40
1013,56511,1,24
1014,08106,1,52
1015,08106,1,14
1016,43512,1,20
1017,54722,1,34
1018,48190,2,25
1019,63332,2,23
1020,24482,15,597
1021,41002,1,24
1022,04330,4,42
1023,30906,19,335
1024,72006,1,21
1025,62311,1,10
1026,44615,1,12
1027,26704,1,0
1028,59410,1,22
1029,27805,1,18
1030,80610,2,20
1031,15713,1,25
1032,97325,2,31
1033,49946,1,13
1034,08028,1,23
1035,51005,1,20
1036,13021,2,43
1037,55705,1,23
1038,50607,1,18
1039,84620,1,16
1040,80012,17,349
1041,47001,2,70
1042,68818,2,53
1043,65605,2,35
1044,57002,1,25
1045,44202,2,42
1046,60505,9,213
1047,65605,3,40
1048,97002,2,34
1049,60538,2,45
1050,27806,2,30
1051,67417,1,20
1052,54151,1,35
1053,26705,1,24
1054,04408,1,7
1055,13026,1,28
1056,12912,1,26
1057,12944,1,48
1058,30106,2,21
1059,55912,1,25
1060,72007,3,15
1061,78721,50,1156
1062,54313,1,10
1063,42156,2,20
1064,28621,1,30
1065,89310,1,12
1066,16720,1,20
1067,44010,1,18
1068,44515,4,48
1069,75835,1,16
1070,36003,0,15
1071,31788,1,22
1072,41602,1,24
1073,65231,1,10
1074,65608,1,8
1075,65608,2,10
1076,62907,1,24
1077,90704,1,70
1078,32583,2,25
1079,15202,1,55
1080,76623,1,10
1081,08202,1,31
1082,74001,1,14
1083,93204,1,15
1084,07001,1,42
1085,30803,1,20
1086,12018,1,52
1087,75554,1,20
1088,10473,1,26
1089,93424,1,0
1090,46710,1,44
1091,64859,1,17
1092,75630,2,16
1093,62216,1,30
1094,53506,1,28
1095,72756,2,25
1096,18641,1,25
1097,14809,1,43
1098,68307,1,25
1099,51521,1,20
1100,37618,1,20
1101,02322,1,28
1102,56310,1,25
1103,44011,1,39
1104,57315,1,30
1105,61415,1,26
1106,44012,1,27
1107,33825,1,15
1108,27915,1,19
1109,06001,4,65
1110,07717,1,40
1111,19311,1,40
1112,85392,4,69
1113,70094,2,21
1114,15618,1,20
1115,85653,4,35
1116,29429,6,38
1117,68924,1,26
1118,66403,1,20
1119,28513,1,40
1120,01432,1,43
1121,86001,1,7
1122,76020,1,24
1123,43106,1,21
1124,59411,1,22
1125,36420,1,15
1126,55706,1,35
1127,24504,1,42
1128,11702,3,158
1129,81131,1,27
1130,24541,1,27
1131,24018,1,28
1132,25427,1,42
1133,28574,1,31
1134,56435,1,20
1135,77518,1,10
1136,23976,1,30
1137,48413,1,20
1138,15005,1,30
1139,20613,1,28
1140,50516,1,25
1141,56714,1,23
1142,28127,3,32
1143,28009,1,28
1144,40003,2,28
1145,32583,2,15
1146,82321,1,11
1147,56621,1,25
1148,50026,1,8
1149,35062,1,35
1150,53801,1,20
1151,75412,1,15
1152,27503,3,49
1153,27807,1,38
1154,40906,1,20
1155,54202,1,38
1156,35019,2,19
1157,04694,1,20
1158,46105,1,23
1159,17502,1,25
1160,13733,1,45
1161,45612,1,21
1162,98110,3,54
1163,39819,2,45
1164,44023,1,35
1165,59212,1,24
1166,79504,1,22
1167,82322,1,8
1168,25608,1,10
1169,97814,1,29
1170,32063,8,36
1171,59313,1,22
1172,73950,1,8
1173,32531,1,30
1174,25401,1,35
1175,59313,1,28
1176,97814,3,20
1177,36027,1,28
1178,28110,1,42
1179,93301,14,216
1180,65609,1,9
1181,05441,1,26
1182,28705,2,31
1183,43803,1,20
1184,15501,1,25
1185,56115,1,28
1186,75180,1,31
1187,78201,1,16
1188,16686,1,16
1189,28461,1,47
1190,98597,2,14
1191,72010,3,22
1192,93602,1,9
1193,40744,1,18
1194,66006,1,13
1195,62217,2,17
1196,31061,8,98
1197,11510,4,227
1198,04091,3,45
1199,49304,1,25
1200,15227,0,48
1201,49872,1,15
1202,14861,2,15
1203,52207,1,10
1204,70514,1,31
1205,13027,3,75
1206,38824,1,31
1207,73931,1,10
1208,71405,3,21
1209,24918,1,20
1210,40014,2,57
1211,76821,1,25
1212,36272,1,23
1213,35903,2,15
1214,37354,1,20
1215,12019,1,42
1216,12020,2,120
1217,43420,1,25
1218,28779,2,31
1219,28708,1,22
1220,54810,1,20
1221,55709,2,22
1222,43804,1,23
1223,06330,1,43
1224,57003,1,25
1225,21202,38,1625
1226,21286,60,4552
1227,21502,1,15
1228,08731,1,20
1229,50517,1,18
1230,68004,1,23
1231,25011,1,18
1232,54921,1,13
1233,26411,1,16
1234,42022,1,16
1235,78003,1,16
1236,97411,5,30
1237,24602,1,14
1238,28609,3,53
1239,37890,1,20
1240,49013,1,22
1241,35079,1,25
1242,18013,3,73
1243,04401,3,89
1244,48706,2,22
1245,12966,1,29
1246,54614,2,37
1247,76823,1,27
1248,36005,1,22
1249,30547,12,76
1250,26234,1,35
1251,97106,3,65
1252,49729,2,16
1253,35542,2,26
1254,10506,1,35
1255,69345,1,43
1256,28604,2,32
1257,38915,1,12
1258,27030,2,44
1259,17841,1,21
1260,92220,2,30
1261,06750,1,60
1262,04609,2,32
1263,82601,1,22
1264,53913,1,46
1265,49908,1,20
1266,67104,9,90
1267,44203,2,45
1268,25504,1,40
1269,40906,2,33
1270,88411,3,15
1271,40004,3,40
1272,75101,1,20
1273,42023,1,27
1274,17540,1,60
1275,36266,1,15
1276,08234,2,38
1277,46131,3,86
1278,63531,1,14
1279,49807,1,25
1280,14012,1,35
1281,06063,1,37
1282,72923,1,25
1283,42024,1,13
1284,42024,1,20
1285,45712,1,30
1286,39083,1,15
1287,14616,1,47
1288,64423,2,18
1289,05031,1,25
1290,28709,1,31
1291,08006,1,42
1292,08005,1,45
1293,50027,1,20
1294,56514,1,28
1295,43713,1,40
