Id,ZipCode,Longitude,Latitude,NumberOfBeds,TraumaLevel,HasHelipad
9353,19709,-75.67752226,39.4534342100001,40,,False
9354,19720,-75.62934354,39.63972812,120,,False
9355,19803,-75.55532113,39.7793809200001,260,,True
9356,19904,-75.5555085999999,39.1773838,34,,False
9357,19713,-75.6610423399999,39.6952703000001,140,,False
9358,19805,-75.56674041,39.7500297400001,35,,False
9359,19805,-75.5668735099999,39.7498689400001,395,3.0,False
9360,19947,-75.4074171,38.6990883,90,,False
9361,39710,-88.4535777999999,33.6257558,0,,False
9362,96853,-157.95852789,21.3394511400001,0,,False
9363,72099,-92.14981865,34.8956635600001,0,,False
9364,32544,-86.6810169999999,30.4194026000001,0,,False
