Id,ZipCode,Longitude,Latitude,FullTimeOfficers,PartTimeOfficers,TotalActiveOfficers
417,70426,-89.81135876,30.96553598,1,3,4
418,70733,-90.79855221,30.29932742,1,0,1
419,90241,-118.1286485,33.941051,109,0,109
420,95685,-120.8023287,38.3922259,6,2,8
421,93257,-119.0178416,36.0718381,60,0,60
422,92225,-114.5979467,33.6125132,26,0,26
423,90623,-118.0367548,33.8490973,24,4,28
424,91910,-117.0828943,32.6399533,244,0,244
425,92324,-117.3226157,34.0714371,71,0,71
426,90720,-118.0764936,33.8035622,21,0,21
427,92501,-117.3749564,33.978053,385,0,385
428,92262,-116.5122634,33.82113,93,2,95
429,95020,-121.5735031,37.0040985,60,0,60
430,93561,-118.4463891,35.1309994,13,0,13
431,94517,-121.9372641,37.942414,11,0,11
432,94027,-122.197741,37.46348342,20,5,25
433,93927,-121.2442352,36.3212936,14,0,14
434,93933,-121.8029188,36.68277,30,0,30
435,94559,-122.2902081,38.2967623,72,0,72
436,93950,-121.9189488,36.6191708,20,0,20
437,94063,-122.2208234,37.4931562,96,0,96
438,95035,-121.910219,37.4491019,86,0,86
439,90401,-118.490803,34.0122584,205,0,205
440,95376,-121.4189237,37.7390329,90,0,90
441,90247,-118.3074785,33.8832987,91,0,91
442,93648,-119.5463185,36.6078056,15,2,17
443,90301,-118.3548205,33.9631022,187,0,187
444,90201,-118.1884445,33.979228,28,0,28
445,95340,-120.4821421,37.3073639,105,6,111
446,93203,-118.8327569,35.2101976,15,0,15
447,93635,-120.8500572,37.0609285,48,0,48
448,93210,-120.3618728,36.1394203,18,2,20
449,52572,-92.676755,40.6844685,1,0,1
450,50028,-93.15121741,41.82648545,2,0,2
451,50115,-94.50660191,41.67760988,2,0,2
452,50171,-92.526394,41.573611,11,2,13
453,50659,-92.31587068,43.06074265,8,0,8
454,50627,-93.0975138,42.360056,10,6,16
455,86401,-114.0646436,35.1897182,92,0,92
456,85938,-109.281292,34.1323969,8,0,8
457,85653,-111.2112346,32.4473931,74,0,74
458,85349,-114.7753205,32.49869711,30,0,30
459,85635,-110.2732756,31.5640741,60,0,60
460,85344,-114.3036771,34.14611718,11,3,14
461,86434,-113.4214383,35.53714379,16,0,16
462,32446,-85.2615554,30.7849287,61,2,63
463,32504,-87.2005566,30.482218,12,2,14
464,32351,-84.5712146,30.5872618,48,2,50
465,33870,-81.43594214,27.49357303,130,14,144
466,32321,-84.9799951,30.4322277,13,1,14
467,32177,-81.6618392,29.6683619,114,0,114
468,33311,-80.17741215,26.12466162,1624,0,1624
469,32344,-83.8814302,30.502963,20,0,20
470,81054,-103.2181955,38.0790655,8,2,10
471,91206,-118.2492172,34.1471177,264,0,264
472,90503,-118.3422962,33.8398502,235,0,235
473,94544,-122.0969078,37.6575335,185,0,185
474,90602,-118.0345724,33.97492271,127,0,127
475,94928,-122.7030784,38.3492865,78,0,78
476,94931,-122.7091999,38.3230595,12,0,12
477,91750,-117.771255,34.1010902,46,0,46
478,93622,-120.4558377,36.8595467,12,3,15
479,90201,-118.1499108,33.9676429,51,0,51
480,85239,-112.0585371,33.02808089,12,0,12
481,51652,-95.6450527,40.74771612,7,0,7
482,52072,-91.35668064,42.89081827,12,0,12
483,50703,-92.3339002,42.4976269,98,0,98
484,50461,-92.8132566,43.2827157,6,0,6
485,50854,-94.2382195,40.7143012,7,0,7
486,52205,-91.2898754,42.1091723,10,0,10
487,51040,-96.0926555,42.0275952,7,0,7
488,80918,-104.8029983,38.89240461,14,0,14
489,80204,-105.0092523,39.7417702,26,0,26
490,80112,-104.8377581,39.579896,407,1,408
491,80117,-104.4640404,39.3420768,28,0,28
492,80751,-103.1786796,40.6220946,24,2,26
493,80401,-105.2019249,39.7303381,537,7,544
494,81303,-107.8783637,37.2471879,90,0,90
495,80758,-102.2203672,40.078615,8,0,8
496,80487,-106.8608489,40.5019718,22,0,22
497,30630,-83.12144472,33.89478175,19,0,19
498,31030,-83.8771183,32.5483729,52,0,52
499,31719,-84.2773253,32.0740264,84,0,84
500,31709,-84.21827097,32.0558322,10,0,10
501,31401,-81.0926138,32.0762691,37,0,37
502,30912,-81.9851959,33.4767962,32,0,32
503,31408,-81.2095304,32.1356334,17,0,17
504,30030,-84.2972144,33.7740697,22,0,22
505,30830,-81.99589035,33.07516112,29,0,29
506,30114,-84.5052727,34.2100966,7,0,7
507,30680,-83.7218131,33.9922232,127,0,127
508,30253,-84.1689484,33.4226456,127,18,145
509,30125,-85.2174219,34.0154533,27,0,27
510,39828,-84.2027939,30.8953237,15,0,15
511,30655,-83.6993524,33.7708181,123,7,130
512,30121,-84.7778592,34.1914406,172,0,172
513,30411,-82.7827316,32.1483875,4,1,5
514,31015,-83.7783298,31.9247599,50,5,55
515,30436,-82.3300024,32.202798,22,2,24
516,30134,-84.753248,33.7481517,223,2,225
517,31806,-84.3099944,32.23905048,4,0,4
