GeoID,ZipCode,MeanIncome
860Z200US01545,01545,177457.0
860Z200US01550,01550,78094.0
860Z200US01560,01560,134831.0
860Z200US01561,01561,
860Z200US01562,01562,100219.0
860Z200US01564,01564,169654.0
860Z200US01566,01566,150245.0
860Z200US01568,01568,187629.0
860Z200US01569,01569,140248.0
860Z200US01570,01570,90737.0
860Z200US01571,01571,98756.0
860Z200US01581,01581,181431.0
860Z200US01583,01583,135502.0
860Z200US01585,01585,91746.0
860Z200US01588,01588,113268.0
860Z200US01590,01590,188334.0
860Z200US01602,01602,114991.0
860Z200US01603,01603,82461.0
860Z200US01604,01604,93535.0
860Z200US01605,01605,79022.0
860Z200US01606,01606,112826.0
860Z200US01607,01607,88695.0
860Z200US01608,01608,62281.0
860Z200US01609,01609,99930.0
860Z200US01610,01610,60990.0
860Z200US01611,01611,121483.0
860Z200US01612,01612,161360.0
860Z200US01701,01701,160277.0
860Z200US01702,01702,116361.0
860Z200US01718,01718,157737.0
860Z200US01719,01719,185869.0
860Z200US01720,01720,200342.0
860Z200US01721,01721,170873.0
860Z200US01730,01730,219119.0
860Z200US01731,01731,114847.0
860Z200US01740,01740,235293.0
860Z200US01741,01741,323531.0
860Z200US01742,01742,294143.0
860Z200US01745,01745,234084.0
860Z200US01746,01746,194643.0
860Z200US01747,01747,153310.0
860Z200US01748,01748,283350.0
860Z200US01749,01749,136128.0
860Z200US01752,01752,116348.0
860Z200US01754,01754,151041.0
860Z200US01756,01756,154823.0
860Z200US01757,01757,119701.0
860Z200US01760,01760,181045.0
860Z200US01770,01770,318043.0
860Z200US01772,01772,273167.0
860Z200US01773,01773,312797.0
860Z200US01775,01775,210048.0
860Z200US01776,01776,289353.0
860Z200US01778,01778,284515.0
860Z200US01801,01801,142144.0
860Z200US01803,01803,171460.0
860Z200US01810,01810,223885.0
860Z200US01821,01821,153895.0
860Z200US01824,01824,168556.0
860Z200US01826,01826,125630.0
860Z200US01827,01827,209020.0
860Z200US01830,01830,104399.0
860Z200US01832,01832,100987.0
860Z200US01833,01833,173760.0
860Z200US01834,01834,156980.0
860Z200US01835,01835,129484.0
860Z200US01840,01840,50912.0
860Z200US01841,01841,74013.0
860Z200US01843,01843,93406.0
860Z200US01844,01844,122537.0
860Z200US01845,01845,176588.0
860Z200US01850,01850,75658.0
860Z200US01851,01851,113431.0
860Z200US01852,01852,96989.0
860Z200US01854,01854,90727.0
860Z200US01860,01860,124770.0
860Z200US01862,01862,137210.0
860Z200US01863,01863,143443.0
860Z200US01864,01864,204534.0
860Z200US01867,01867,187283.0
860Z200US01876,01876,143989.0
860Z200US01879,01879,168010.0
860Z200US01880,01880,163866.0
860Z200US01886,01886,204053.0
860Z200US01887,01887,176495.0
860Z200US01890,01890,296327.0
860Z200US01901,01901,53824.0
860Z200US01902,01902,85620.0
860Z200US01904,01904,126400.0
860Z200US01905,01905,99923.0
860Z200US01906,01906,120950.0
860Z200US01907,01907,181385.0
860Z200US01908,01908,188842.0
860Z200US01913,01913,128463.0
860Z200US01915,01915,137355.0
860Z200US01921,01921,258292.0
860Z200US01922,01922,206947.0
