Measure,ZipCode,Ratio,TotalPopulation
Depression among adults,77656,0.242,17199
Housing insecurity in the past 12 months among adults,77656,0.138,17199
Feeling socially isolated among adults,77656,0.332,17199
Obesity among adults,77656,0.386,17199
Current asthma among adults,77657,0.104,22161
Visits to doctor for routine checkup within the past year among adults,77657,0.733,22161
Depression among adults,77657,0.257,22161
Housing insecurity in the past 12 months among adults,77657,0.114,22161
Feeling socially isolated among adults,77657,0.328,22161
Obesity among adults,77657,0.367,22161
Current asthma among adults,77659,0.106,4964
Visits to doctor for routine checkup within the past year among adults,77659,0.742,4964
Depression among adults,77659,0.25,4964
Housing insecurity in the past 12 months among adults,77659,0.109,4964
Feeling socially isolated among adults,77659,0.324,4964
Obesity among adults,77659,0.365,4964
Current asthma among adults,77660,0.108,1206
Visits to doctor for routine checkup within the past year among adults,77660,0.744,1206
Depression among adults,77660,0.266,1206
Housing insecurity in the past 12 months among adults,77660,0.142,1206
Feeling socially isolated among adults,77660,0.339,1206
Obesity among adults,77660,0.413,1206
Current asthma among adults,77661,0.106,429
Visits to doctor for routine checkup within the past year among adults,77661,0.747,429
Depression among adults,77661,0.224,429
Housing insecurity in the past 12 months among adults,77661,0.195,429
Feeling socially isolated among adults,77661,0.349,429
Obesity among adults,77661,0.436,429
Current asthma among adults,77662,0.104,25462
Visits to doctor for routine checkup within the past year among adults,77662,0.736,25462
Depression among adults,77662,0.27,25462
Housing insecurity in the past 12 months among adults,77662,0.125,25462
Feeling socially isolated among adults,77662,0.336,25462
Obesity among adults,77662,0.416,25462
Current asthma among adults,77663,0.102,1291
Visits to doctor for routine checkup within the past year among adults,77663,0.793,1291
Depression among adults,77663,0.237,1291
Housing insecurity in the past 12 months among adults,77663,0.119,1291
Feeling socially isolated among adults,77663,0.325,1291
Obesity among adults,77663,0.381,1291
Current asthma among adults,77664,0.104,2934
Visits to doctor for routine checkup within the past year among adults,77664,0.759,2934
Depression among adults,77664,0.253,2934
Housing insecurity in the past 12 months among adults,77664,0.117,2934
Feeling socially isolated among adults,77664,0.33,2934
Obesity among adults,77664,0.386,2934
Current asthma among adults,77665,0.103,7080
Visits to doctor for routine checkup within the past year among adults,77665,0.736,7080
Depression among adults,77665,0.245,7080
Housing insecurity in the past 12 months among adults,77665,0.153,7080
Feeling socially isolated among adults,77665,0.339,7080
Obesity among adults,77665,0.399,7080
Current asthma among adults,77701,0.111,13232
Visits to doctor for routine checkup within the past year among adults,77701,0.75,13232
Depression among adults,77701,0.205,13232
Housing insecurity in the past 12 months among adults,77701,0.287,13232
Feeling socially isolated among adults,77701,0.384,13232
Obesity among adults,77701,0.429,13232
Current asthma among adults,77702,0.105,2682
Visits to doctor for routine checkup within the past year among adults,77702,0.75,2682
Depression among adults,77702,0.215,2682
Housing insecurity in the past 12 months among adults,77702,0.206,2682
Feeling socially isolated among adults,77702,0.36,2682
Obesity among adults,77702,0.385,2682
Current asthma among adults,77703,0.126,13357
Visits to doctor for routine checkup within the past year among adults,77703,0.773,13357
Depression among adults,77703,0.22,13357
Housing insecurity in the past 12 months among adults,77703,0.355,13357
Feeling socially isolated among adults,77703,0.384,13357
Obesity among adults,77703,0.486,13357
Current asthma among adults,77705,0.103,37950
Visits to doctor for routine checkup within the past year among adults,77705,0.726,37950
Depression among adults,77705,0.207,37950
Housing insecurity in the past 12 months among adults,77705,0.256,37950
Feeling socially isolated among adults,77705,0.364,37950
Obesity among adults,77705,0.426,37950
Current asthma among adults,77706,0.096,29910
Visits to doctor for routine checkup within the past year among adults,77706,0.764,29910
Depression among adults,77706,0.209,29910
Housing insecurity in the past 12 months among adults,77706,0.125,29910
Feeling socially isolated among adults,77706,0.328,29910
Obesity among adults,77706,0.323,29910
Current asthma among adults,77707,0.108,17509
Visits to doctor for routine checkup within the past year among adults,77707,0.765,17509
Depression among adults,77707,0.216,17509
Housing insecurity in the past 12 months among adults,77707,0.197,17509
Feeling socially isolated among adults,77707,0.35,17509
Obesity among adults,77707,0.381,17509
Current asthma among adults,77708,0.113,12478
Visits to doctor for routine checkup within the past year among adults,77708,0.774,12478
Depression among adults,77708,0.207,12478
Housing insecurity in the past 12 months among adults,77708,0.24,12478
Feeling socially isolated among adults,77708,0.367,12478
Obesity among adults,77708,0.409,12478
Current asthma among adults,77713,0.102,14408
Visits to doctor for routine checkup within the past year among adults,77713,0.748,14408
Depression among adults,77713,0.219,14408
Housing insecurity in the past 12 months among adults,77713,0.14,14408
Feeling socially isolated among adults,77713,0.337,14408
Obesity among adults,77713,0.347,14408
Current asthma among adults,77801,0.108,15097
Visits to doctor for routine checkup within the past year among adults,77801,0.687,15097
Depression among adults,77801,0.267,15097
Housing insecurity in the past 12 months among adults,77801,0.239,15097
Feeling socially isolated among adults,77801,0.396,15097
Obesity among adults,77801,0.39,15097
Current asthma among adults,77802,0.095,25502
Visits to doctor for routine checkup within the past year among adults,77802,0.748,25502
Depression among adults,77802,0.23,25502
Housing insecurity in the past 12 months among adults,77802,0.119,25502
Feeling socially isolated among adults,77802,0.334,25502
Obesity among adults,77802,0.335,25502
Current asthma among adults,77803,0.107,30533
Visits to doctor for routine checkup within the past year among adults,77803,0.718,30533
Depression among adults,77803,0.235,30533
Housing insecurity in the past 12 months among adults,77803,0.278,30533
Feeling socially isolated among adults,77803,0.385,30533
Obesity among adults,77803,0.435,30533
Current asthma among adults,77807,0.094,13140
Visits to doctor for routine checkup within the past year among adults,77807,0.708,13140
Depression among adults,77807,0.23,13140
Housing insecurity in the past 12 months among adults,77807,0.155,13140
Feeling socially isolated among adults,77807,0.357,13140
Obesity among adults,77807,0.358,13140
Current asthma among adults,77808,0.097,15217
Visits to doctor for routine checkup within the past year among adults,77808,0.746,15217
Depression among adults,77808,0.235,15217
Housing insecurity in the past 12 months among adults,77808,0.121,15217
Feeling socially isolated among adults,77808,0.327,15217
