Measure,ZipCode,Ratio,TotalPopulation
Obesity among adults,16132,0.362,380
Current asthma among adults,16133,0.108,1365
Visits to doctor for routine checkup within the past year among adults,16133,0.815,1365
Depression among adults,16133,0.234,1365
Obesity among adults,16133,0.348,1365
Current asthma among adults,16134,0.112,3498
Visits to doctor for routine checkup within the past year among adults,16134,0.811,3498
Depression among adults,16134,0.241,3498
Obesity among adults,16134,0.375,3498
Current asthma among adults,16136,0.102,748
Visits to doctor for routine checkup within the past year among adults,16136,0.801,748
Depression among adults,16136,0.231,748
Obesity among adults,16136,0.361,748
Current asthma among adults,16137,0.109,12654
Visits to doctor for routine checkup within the past year among adults,16137,0.789,12654
Depression among adults,16137,0.235,12654
Obesity among adults,16137,0.357,12654
Current asthma among adults,16140,0.096,226
Visits to doctor for routine checkup within the past year among adults,16140,0.775,226
Depression among adults,16140,0.231,226
Obesity among adults,16140,0.329,226
Current asthma among adults,16141,0.11,1653
Visits to doctor for routine checkup within the past year among adults,16141,0.795,1653
Depression among adults,16141,0.247,1653
Obesity among adults,16141,0.372,1653
Current asthma among adults,16142,0.108,5906
Visits to doctor for routine checkup within the past year among adults,16142,0.793,5906
Depression among adults,16142,0.245,5906
Obesity among adults,16142,0.328,5906
Current asthma among adults,16143,0.105,2398
Visits to doctor for routine checkup within the past year among adults,16143,0.798,2398
Depression among adults,16143,0.239,2398
Obesity among adults,16143,0.329,2398
Current asthma among adults,16145,0.108,2586
Visits to doctor for routine checkup within the past year among adults,16145,0.804,2586
Depression among adults,16145,0.235,2586
Obesity among adults,16145,0.339,2586
Current asthma among adults,16146,0.123,13181
Visits to doctor for routine checkup within the past year among adults,16146,0.798,13181
Depression among adults,16146,0.253,13181
Obesity among adults,16146,0.386,13181
Current asthma among adults,16148,0.107,16673
Visits to doctor for routine checkup within the past year among adults,16148,0.817,16673
Depression among adults,16148,0.225,16673
Obesity among adults,16148,0.336,16673
Current asthma among adults,16150,0.112,7172
Visits to doctor for routine checkup within the past year among adults,16150,0.802,7172
Depression among adults,16150,0.244,7172
Obesity among adults,16150,0.346,7172
Current asthma among adults,16153,0.112,2451
Visits to doctor for routine checkup within the past year among adults,16153,0.801,2451
Depression among adults,16153,0.244,2451
Obesity among adults,16153,0.354,2451
Current asthma among adults,16154,0.113,2354
Visits to doctor for routine checkup within the past year among adults,16154,0.802,2354
Depression among adults,16154,0.245,2354
Obesity among adults,16154,0.358,2354
Current asthma among adults,16155,0.11,100
Visits to doctor for routine checkup within the past year among adults,16155,0.902,100
Depression among adults,16155,0.191,100
Obesity among adults,16155,0.274,100
Current asthma among adults,16156,0.107,3218
Visits to doctor for routine checkup within the past year among adults,16156,0.797,3218
Depression among adults,16156,0.244,3218
Obesity among adults,16156,0.342,3218
Current asthma among adults,16157,0.11,3112
Visits to doctor for routine checkup within the past year among adults,16157,0.8,3112
Depression among adults,16157,0.246,3112
Obesity among adults,16157,0.361,3112
Current asthma among adults,16159,0.109,4264
Visits to doctor for routine checkup within the past year among adults,16159,0.807,4264
Depression among adults,16159,0.237,4264
Obesity among adults,16159,0.341,4264
Current asthma among adults,16160,0.105,799
Visits to doctor for routine checkup within the past year among adults,16160,0.817,799
Depression among adults,16160,0.237,799
Obesity among adults,16160,0.339,799
Current asthma among adults,16161,0.126,597
Visits to doctor for routine checkup within the past year among adults,16161,0.828,597
Depression among adults,16161,0.252,597
Obesity among adults,16161,0.438,597
Current asthma among adults,16172,0.109,707
Visits to doctor for routine checkup within the past year among adults,16172,0.713,707
Depression among adults,16172,0.303,707
Obesity among adults,16172,0.189,707
Current asthma among adults,16201,0.108,17236
Visits to doctor for routine checkup within the past year among adults,16201,0.794,17236
Depression among adults,16201,0.242,17236
Obesity among adults,16201,0.378,17236
Current asthma among adults,16210,0.107,961
Visits to doctor for routine checkup within the past year among adults,16210,0.781,961
Depression among adults,16210,0.242,961
Obesity among adults,16210,0.374,961
Current asthma among adults,16211,0.136,115
Visits to doctor for routine checkup within the past year among adults,16211,0.751,115
Depression among adults,16211,0.299,115
Obesity among adults,16211,0.416,115
Current asthma among adults,16212,0.105,324
Visits to doctor for routine checkup within the past year among adults,16212,0.777,324
Depression among adults,16212,0.244,324
Obesity among adults,16212,0.373,324
Current asthma among adults,16213,0.111,132
Visits to doctor for routine checkup within the past year among adults,16213,0.788,132
Depression among adults,16213,0.24,132
Obesity among adults,16213,0.374,132
Current asthma among adults,16214,0.119,8308
Visits to doctor for routine checkup within the past year among adults,16214,0.771,8308
Depression among adults,16214,0.272,8308
Obesity among adults,16214,0.336,8308
Current asthma among adults,16217,0.098,59
Visits to doctor for routine checkup within the past year among adults,16217,0.838,59
Depression among adults,16217,0.202,59
Obesity among adults,16217,0.363,59
Current asthma among adults,16218,0.108,1041
Visits to doctor for routine checkup within the past year among adults,16218,0.801,1041
Depression among adults,16218,0.242,1041
Obesity among adults,16218,0.385,1041
Current asthma among adults,16222,0.111,2557
Visits to doctor for routine checkup within the past year among adults,16222,0.783,2557
Depression among adults,16222,0.251,2557
Obesity among adults,16222,0.387,2557
Current asthma among adults,16223,0.118,142
Visits to doctor for routine checkup within the past year among adults,16223,0.796,142
Depression among adults,16223,0.264,142
Obesity among adults,16223,0.398,142
Current asthma among adults,16224,0.115,1086
Visits to doctor for routine checkup within the past year among adults,16224,0.791,1086
Depression among adults,16224,0.249,1086
Obesity among adults,16224,0.36,1086
Current asthma among adults,16226,0.109,7880
Visits to doctor for routine checkup within the past year among adults,16226,0.793,7880
Depression among adults,16226,0.244,7880
Obesity among adults,16226,0.378,7880
Current asthma among adults,16228,0.105,361
Visits to doctor for routine checkup within the past year among adults,16228,0.781,361
Depression among adults,16228,0.235,361
Obesity among adults,16228,0.373,361
Current asthma among adults,16229,0.108,4978
Visits to doctor for routine checkup within the past year among adults,16229,0.795,4978
Depression among adults,16229,0.244,4978
Obesity among adults,16229,0.374,4978
Current asthma among adults,16230,0.112,477
Visits to doctor for routine checkup within the past year among adults,16230,0.789,477
Depression among adults,16230,0.248,477
Obesity among adults,16230,0.355,477
Current asthma among adults,16232,0.112,4479
Visits to doctor for routine checkup within the past year among adults,16232,0.793,4479
Depression among adults,16232,0.244,4479
Obesity among adults,16232,0.357,4479
Current asthma among adults,16233,0.103,1161
Visits to doctor for routine checkup within the past year among adults,16233,0.81,1161
Depression among adults,16233,0.22,1161
Obesity among adults,16233,0.34,1161
Current asthma among adults,16235,0.106,1223
Visits to doctor for routine checkup within the past year among adults,16235,0.796,1223
Depression among adults,16235,0.232,1223
Obesity among adults,16235,0.342,1223
Current asthma among adults,16236,0.106,250
Visits to doctor for routine checkup within the past year among adults,16236,0.777,250
Depression among adults,16236,0.242,250
Obesity among adults,16236,0.368,250
Current asthma among adults,16238,0.107,382
Visits to doctor for routine checkup within the past year among adults,16238,0.784,382
Depression among adults,16238,0.249,382
Obesity among adults,16238,0.371,382
Current asthma among adults,16239,0.094,4196
Visits to doctor for routine checkup within the past year among adults,16239,0.741,4196
Depression among adults,16239,0.199,4196
Obesity among adults,16239,0.415,4196
Current asthma among adults,16240,0.11,1520
Visits to doctor for routine checkup within the past year among adults,16240,0.785,1520
Depression among adults,16240,0.244,1520
Obesity among adults,16240,0.366,1520
Current asthma among adults,16242,0.11,4623
Visits to doctor for routine checkup within the past year among adults,16242,0.794,4623
Depression among adults,16242,0.24,4623
Obesity among adults,16242,0.372,4623
Current asthma among adults,16244,0.102,247
Visits to doctor for routine checkup within the past year among adults,16244,0.789,247
Depression among adults,16244,0.228,247
Obesity among adults,16244,0.4,247
Current asthma among adults,16245,0.112,199
Visits to doctor for routine checkup within the past year among adults,16245,0.755,199
Depression among adults,16245,0.253,199
Obesity among adults,16245,0.404,199
Current asthma among adults,16246,0.123,220
