Id,ZipCode,Longitude,Latitude
100131,19144,-75.17978,40.04101
100132,19144,-75.1758,40.03725
100133,19131,-75.23488,39.97971
100134,19125,-75.12694,39.98999
100135,19115,-75.041041,40.08345
100136,19116,-75.009791,40.12028
100137,19116,-75.0127816,40.1266071
100138,19130,-75.164482,39.970231
100139,19116,-75.015881,40.10467
100140,19124,-75.08344,40.01566
100141,19124,-75.083952,40.01645
100142,19140,-75.129222,39.998811
100143,19131,-75.21849,39.97937
100144,19131,-75.22595,39.97346
100145,19131,-75.21503,39.9978
100146,19122,-75.14768,39.97816
100147,19140,-75.158712,40.013681
100148,19106,-75.144412,39.956071
100149,19134,-75.1151211,39.9958489
100150,19120,-75.11901,40.02987
100151,19111,-75.09587,40.04906
100152,19148,-75.158282,39.917681
100153,19145,-75.19409,39.92891
100154,19139,-75.23274,39.96055
100155,19131,-75.21849,39.97327
100156,19139,-75.2181,39.95524
100157,19139,-75.23157,39.96392
100158,19121,-75.16467,39.9734
100159,19141,-75.150922,40.02581
100160,19121,-75.17774,39.98767
100161,19120,-75.13138,40.03392
100162,19144,-75.17805,40.04005
100163,19123,-75.15914,39.96768
100164,19146,-75.1800283,39.9376288
100165,19147,-75.15302,39.93466
100166,19148,-75.16251,39.91588
100167,19139,-75.239232,39.961821
100168,19139,-75.225812,39.958571
100169,19139,-75.245122,39.96256
100170,19146,-75.16927,39.94427
100171,19125,-75.12912,39.98762
100172,19143,-75.22458,39.93871
100173,19151,-75.26739,39.97823
100174,19133,-75.135671,39.994231
100175,19132,-75.16689,39.9981
100176,19104,-75.20554,39.96344
100177,19140,-75.15643,40.00696
100178,19136,-75.015162,40.057881
100179,19124,-75.085532,40.00909
100180,19140,-75.13559,40.00053
100181,19151,-75.25356,39.97466
100182,19130,-75.18237,39.97464
100183,19103,-75.17647,39.95266
100184,19152,-75.05,40.04971
100185,19135,-75.04295,40.03328
100186,19152,-75.061062,40.05661
100187,19124,-75.08397,40.01213
100188,19140,-75.13525,40.02146
100189,19139,-75.238561,39.961721
100190,19133,-75.147811,40.000242
100191,19145,-75.173591,39.929891
100192,19104,-75.209592,39.973541
100193,19104,-75.18767,39.96366
100194,19151,-75.24718,39.97013
100195,19120,-75.12193,40.03086
100196,19124,-75.086722,40.01346
